CELLNAME,LAT,LONG,LAC,CELLID,AZIMUTH,TECH,NODE
CW0977A,31.87744521,35.02711165,10454,9771,30,2G,
CW0977B,31.87744521,35.02711165,10454,9772,160,2G,
CW0977C,31.87744521,35.02711165,10454,9773,300,2G,
EA0471B,32.2302277,35.2710416,10463,4712,155,2G,
EA1176D,32.31492946,35.50096206,10463,11764,10,2G,
EA1176E,32.31492946,35.50096206,10463,11765,190,2G,
EA1176F,32.31492946,35.50096206,10463,11766,290,2G,
EA1602D,32.32017423,35.54253889,10463,16024,170,2G,
EA1602E,32.32017423,35.54253889,10463,16025,340,2G,
EA1603D,32.15437547,35.52380489,10463,16034,10,2G,
EA1603E,32.15437547,35.52380489,10463,16035,200,2G,
EA1606D,31.91089603,35.46505526,10463,16064,10,2G,
EA1606E,31.91089603,35.46505526,10463,16065,80,2G,
EA1606F,31.91089603,35.46505526,10463,16066,180,2G,
EA1607A,31.76394568,35.501973,10463,16071,10,2G,
EA1607B,31.76394568,35.501973,10463,16072,160,2G,
EA1607C,31.76394568,35.501973,10463,16073,260,2G,
EA1608D,31.56786506,35.40638432,10473,16084,0,2G,
EA1608E,31.56786506,35.40638432,10473,16085,200,2G,
EA1609A,31.45235517,35.39169421,10473,16091,350,2G,
EA1609B,31.45235517,35.39169421,10473,16092,190,2G,
EA1609C,31.45235517,35.39169421,10473,16093,275,2G,
EA1609D,31.45235517,35.39169421,10473,16094,0,2G,
EA1609E,31.45235517,35.39169421,10473,16095,200,2G,
EA1611D,32.04167013,35.45999547,10463,16114,40,2G,
EA1611E,32.04167013,35.45999547,10463,16115,200,2G,
EA1611F,32.04167013,35.45999547,10463,16116,280,2G,
EA1612D,32.26036065,35.55166203,10463,16124,0,2G,
EA1612E,32.26036065,35.55166203,10463,16125,180,2G,
EA1617A,31.3312991,35.40089623,10473,16171,200,2G,
EA1617B,31.3312991,35.40089623,10473,16172,250,2G,
EA1617C,31.3312991,35.40089623,10473,16173,340,2G,
EA1618A,31.67067117,35.44207932,10473,16181,10,2G,
EA1618B,31.67067117,35.44207932,10473,16182,210,2G,
EA1619A,31.80341432,35.32831497,10472,16191,40,2G,
EA1619B,31.80341432,35.32831497,10472,16192,160,2G,
EA1619C,31.80341432,35.32831497,10472,16193,260,2G,
EA1620A,31.81157497,35.39470309,10463,16201,130,2G,
EA1620B,31.81157497,35.39470309,10463,16202,330,2G,
EA2003A,31.67945026,35.10310781,10473,20031,40,2G,
EA2003C,31.67945026,35.10310781,10473,20033,250,2G,
EA2005A,31.77507207,35.23301072,10471,20051,0,2G,
EA2005B,31.77507207,35.23301072,10471,20052,170,2G,
EA2005C,31.77507207,35.23301072,10471,20053,260,2G,
EA2006A,31.81370567,35.23770139,10472,20061,160,2G,
EA2006B,31.81370567,35.23770139,10472,20062,280,2G,
EA2007A,31.81534772,35.23756462,10472,20071,80,2G,
EA2007B,31.81534772,35.23756462,10472,20072,260,2G,
EA2007C,31.81534772,35.23756462,10472,20073,350,2G,
EA2009A,31.80730395,35.2469656,10472,20091,0,2G,
EA2009B,31.80730395,35.2469656,10472,20092,150,2G,
EA2009C,31.80730395,35.2469656,10472,20093,270,2G,
EA2010A,31.79393745,35.14543834,10471,20101,20,2G,
EA2010B,31.79393745,35.14543834,10471,20102,110,2G,
EA2010C,31.79393745,35.14543834,10471,20103,230,2G,
EA2011A,31.76820761,35.17233075,10471,20111,170,2G,
EA2011B,31.76820761,35.17233075,10471,20112,270,2G,
EA2012A,31.75708227,35.15439175,10472,20121,40,2G,
EA2012B,31.75708227,35.15439175,10472,20122,130,2G,
