CELLNAME	LAT	LONG	LAC	CELLID	AZIMUTH	TECH	NODE
CW0977A	31.8774452102004	35.0271116508025	10454	9771	30	2G	
CW0977B	31.8774452102004	35.0271116508025	10454	9772	160	2G	
CW0977C	31.8774452102004	35.0271116508025	10454	9773	300	2G	
EA0471B	32.2302276984635	35.2710416003887	10463	4712	155	2G	
EA1176D	32.314929457543	35.5009620600521	10463	11764	10	2G	
EA1176E	32.314929457543	35.5009620600521	10463	11765	190	2G	
EA1176F	32.314929457543	35.5009620600521	10463	11766	290	2G	
EA1602D	32.3201742345604	35.5425388853439	10463	16024	170	2G	
EA1602E	32.3201742345604	35.5425388853439	10463	16025	340	2G	
EA1603D	32.1543754726674	35.5238048898694	10463	16034	10	2G	
EA1603E	32.1543754726674	35.5238048898694	10463	16035	200	2G	
EA1606D	31.910896026997	35.4650552574194	10463	16064	10	2G	
EA1606E	31.910896026997	35.4650552574194	10463	16065	80	2G	
EA1606F	31.910896026997	35.4650552574194	10463	16066	180	2G	
EA1607A	31.7639456812298	35.5019730035155	10463	16071	10	2G	
EA1607B	31.7639456812298	35.5019730035155	10463	16072	160	2G	
EA1607C	31.7639456812298	35.5019730035155	10463	16073	260	2G	
EA1608D	31.5678650614173	35.4063843186259	10473	16084	0	2G	
EA1608E	31.5678650614173	35.4063843186259	10473	16085	200	2G	
EA1609A	31.4523551703107	35.3916942051856	10473	16091	350	2G	
EA1609B	31.4523551703107	35.3916942051856	10473	16092	190	2G	
EA1609C	31.4523551703107	35.3916942051856	10473	16093	275	2G	
EA1609D	31.4523551703107	35.3916942051856	10473	16094	0	2G	
EA1609E	31.4523551703107	35.3916942051856	10473	16095	200	2G	
EA1611D	32.0416701286398	35.4599954743403	10463	16114	40	2G	
EA1611E	32.0416701286398	35.4599954743403	10463	16115	200	2G	
EA1611F	32.0416701286398	35.4599954743403	10463	16116	280	2G	
EA1612D	32.2603606529376	35.5516620347705	10463	16124	0	2G	
EA1612E	32.2603606529376	35.5516620347705	10463	16125	180	2G	
EA1617A	31.3312991014297	35.4008962265021	10473	16171	200	2G	
EA1617B	31.3312991014297	35.4008962265021	10473	16172	250	2G	
EA1617C	31.3312991014297	35.4008962265021	10473	16173	340	2G	
EA1618A	31.6706711746855	35.4420793204155	10473	16181	10	2G	
EA1618B	31.6706711746855	35.4420793204155	10473	16182	210	2G	
EA1619A	31.8034143209743	35.3283149748024	10472	16191	40	2G	
EA1619B	31.8034143209743	35.3283149748024	10472	16192	160	2G	
EA1619C	31.8034143209743	35.3283149748024	10472	16193	260	2G	
EA1620A	31.811574972196	35.39470308569	10463	16201	130	2G	
EA1620B	31.811574972196	35.39470308569	10463	16202	330	2G	
EA2003A	31.6794502567059	35.1031078116075	10473	20031	40	2G	
EA2003C	31.6794502567059	35.1031078116075	10473	20033	250	2G	
EA2005A	31.7750720688709	35.2330107208461	10471	20051	0	2G	
EA2005B	31.7750720688709	35.2330107208461	10471	20052	170	2G	
EA2005C	31.7750720688709	35.2330107208461	10471	20053	260	2G	
EA2006A	31.8137056650297	35.2377013924579	10472	20061	160	2G	
EA2006B	31.8137056650297	35.2377013924579	10472	20062	280	2G	
EA2007A	31.8153477248677	35.2375646157349	10472	20071	80	2G	
EA2007B	31.8153477248677	35.2375646157349	10472	20072	260	2G	
EA2007C	31.8153477248677	35.2375646157349	10472	20073	350	2G	
EA2009A	31.8073039477735	35.2469656039243	10472	20091	0	2G	
EA2009B	31.8073039477735	35.2469656039243	10472	20092	150	2G	
EA2009C	31.8073039477735	35.2469656039243	10472	20093	270	2G	
EA2010A	31.7939374482628	35.1454383366648	10471	20101	20	2G	
EA2010B	31.7939374482628	35.1454383366648	10471	20102	110	2G	
EA2010C	31.7939374482628	35.1454383366648	10471	20103	230	2G	
EA2011A	31.7682076095307	35.1723307485167	10471	20111	170	2G	
EA2011B	31.7682076095307	35.1723307485167	10471	20112	270	2G	
EA2012A	31.7570822733898	35.1543917505559	10472	20121	40	2G	
EA2012B	31.7570822733898	35.1543917505559	10472	20122	130	2G	
EA2012C	31.7570822733898	35.1543917505559	10472	20123	230	2G	
EA2013A	31.7617337794673	35.1748565382095	10472	20131	30	2G	
EA2013B	31.7617337794673	35.1748565382095	10472	20132	120	2G	
EA2013C	31.7617337794673	35.1748565382095	10472	20133	250	2G	
EA2014A	31.746755249885	35.2254659179964	10472	20141	30	2G	
EA2014B	31.746755249885	35.2254659179964	10472	20142	120	2G	
EA2014C	31.746755249885	35.2254659179964	10472	20143	260	2G	
EA2015A	31.7344809790923	35.2240283438221	10472	20151	80	2G	
EA2015B	31.7344809790923	35.2240283438221	10472	20152	180	2G	
EA2017A	31.7895858756834	35.2118660477533	10471	20171	125	2G	
EA2017B	31.7895858756834	35.2118660477533	10471	20172	225	2G	
EA2018A	31.7921684380476	35.2378452685548	10471	20181	215	2G	
